teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
narutograstim (genetical recombination)||lenograstim (genetical recombination)|laronidase (genetical recombination)|alteplase (genetical recombination)|somatrem (genetical recombination)|galsulfase (genetical recombination)|liraglutide (genetical recombination)|burosumab (genetical recombination)|abciximab (genetical recombination)|adalimumab (genetical recombination)|aflibercept (genetical recombination)
osteoporosis injection||solenopsis invicta|osteoprotegerin recombinant|phosphocholine cation|pyridostigmine cation|strontium sr-89 cation|plasma protein fraction|glycopyrronium cation|solenopsis richteri|edrophonium cation|destropropossifene
flourouracil||fluorouracil|fluouracil|fluorouracilo|fluoro uracil|5-fluorouracil|fluorouracilum|5-fluoracil|hydrouracil|5-iodouracil|dihydrouracil
central circulatory system non-absorbable local hemostatic material||umbilical cord blood mononuclear cells conditioned medium|extract of the sterile caules of equisetum arvense|recombinant human granulocyte-macrophage colony stimulating factor|vaccinia virus strain new york city board of health live antigen|measles virus vaccine live, enders' attenuated edmonston strain|measles virus strain enders' attenuated edmonston live antigen|ferumoxytol non-stoichiometric magnetite|human umbilical cord blood mononuclear cell-conditioned medium|glycosylated recombinant granulocyte colony stimulating factor|citrus aurantium bergamia (bergamot) fruit water
stomach medicine||stachydrine|semduramicine|l-stachydrine|tacedinaline|colchicine|starch, maize|acemetacine|air, medicinal|etiocholanedione|soya lecithins
flomox||flomoxef|formol|flomine|cloro|lemon|flours|cromo|flavon|coflodiol|golotimod
ortho bioview coombs||orthosiphonis folium|orthoboric acid|factor viii recombin|orthodichlorobenzol|ortho-dichlorobenzene|northern brown shrimp|turkish licorice root|urtica dioica pollen|citrus bioflavonoids|orthodichlorobenzene
flavor||flavon|flavone|favilavir|flavoxato|fapilavir|flaviolin|flavoxate|isoflavon|elbasvir|flavopiridol
centai||penta|fentanil|lentil|chenpi|chen pi|fentanila|cefotaxim|fentanilo|carfentanil|centhaquine
orodatero||olodaterol|procaterol|formoterol|ipodate|oxonate|ergosterol|progesteron|prenalterol|arformoterol|propanetriol
dirazep hydrochloride hydrate||zirconium chloride hydroxide|silicon dioxide hydrate|adiphenine hydrochloride|zirconium chlorohydrate|acriflavine hydrochloride|zirconyl hydroxychloride|delta'-dehydrocortisone acetate|iron azide hydrate|aluminum chlorohydrate dihydrate|dicalcium phosphate dihydrate
skin softener (including rotting agent)||sunflower oil (unhydrogenated)|insulin glulisine recombinant|chinese ginseng root water|fc il-2 mutein fusion protein (amg-592)|varicella zoster vaccine (recombinant)|interleukin-3 human (recombinant)|parathormone (human recombinant)|insulin glulisine (recombinant dna origin)|korean ginseng root water|sistotrema versicolor fruiting body
ferro gradumet||ferrostrane|ferric sodium edta|ferrous tartrate|ferrostrene|ferrous fumarate|terbogrelum|ferrous gluconate|ferrous cevitamate|ferrous carbonate|ferrous ascorbate
oren agoriyu||orfenadrina|orphenadrinum|robenacoxibum|orphenadrine|renzapride|garden sage oil|oxyde azotique|iron chloride|quinagolidum|pentazocinum
shiunkou||jiaokou|arsthinol|stibinol|safingol|chininum|silanol|ginkgo|sertindolum|sphingosine|sisunatovir
fat emulsion||catenulin|fotemustine|fotemustina|watermelon|fotemustinum|artemisinin|tamsulosin|artemisone|batabulin|ferrous ion
cellulase ap3||cellulose gum|cellulose|cellulose powder|elosulfase alfa|cellulose methyl|cellulose, powder|hemicellulase|cellulose methylate|cerliponase alfa|velmanase alfa
bakumondoto||butonato|bucindolol|bamboo top|blacksamson root|bunamiodilo|ibandronate|buquinolato|bopindolol|carumonam|bakuchiol
orara tsumab||olaratumab|narnatumab|onartuzumab|daratumumab|tarextumab|parsatuzumab|ozoralizumab|etaracizumab|foralumab|iratumumab
sar6509||sar153191|sr-9009|starch 1500|arry-502|s-40503|ser-100|can-508|vx-659|as1409|sq-109
external medicine||enteramine|evernimicin|penclomedine|ethylenediamine|dextroamphetamine|hexamethylenediamine|hymenialdisine|hexylenediamine|hexamethylene diamine|evernia herinii
oral treatment||pralatrexate|pralatrexatum|altretamin|altretamina|altretamine|pralatrexato|altretaminum|cobalt, elemental|cloral betaine|altrenogest
ryokan soukanto||protamine sulfate|dermatan sulfate|protein s human|potasio sulfato|iron succinate|bario sulfato|iron sugar|pranlukast|soybean isoflavones|condroitín sulfato
cellcept||belatacept|cellose|onercept|scullcap|alefacept|conbercept|cellulose|chiltepe|rilonacept|celery
mesna||henna|senna|teína|mersal|mateína|pepsina|monensina|medrisona|meso-ndga|penta
eve a||e-epa|pev3a|veal|heme d|heme c|senega|aloe vera|sevelamer|stelera|evt 201
oral nutrition||raluridine|amyl nitrite|anetholtrithion|octyl triazone|oxiglutatione|orantinib|cobaltous cation|nitrite ion|alitretinoin|malonate ion
rivaloxaban||rivaroxaban|eribaxaban|triclocarban|trovafloxacin|eribaxabán|rimonabant|sitafloxacin|finafloxacin|trovafloxacino|illoxan
eve||t-vec|agene|e-epa|selen|eisen|pev3a|ether|clove|olive|beet
vitamins (1-1)||vitamin b-12b|vitamin a1|vitamin k1|vitamin b1|vitamin l1|vitamin b13|vitamin d-3|vitamin b12|vitamin c|vitamin h
ethylene glycol||triethylene glycol|polyethylene glycol|trimethylene glycol|octaethylene glycol|butylene glycol|heptaethylene glycol|methyl glycol|polyethylene glycol 8|methylethylene glycol|propylene glycol
peritoneal dialysate (4-9)||menthyl salicylate, (+/-)-|l-serine, acetate (ester)|iron sulfate (1:1)|iodine ioflupane (123i)|pyrithione disulphide|pentosane polysulfate|pyrithione disulfide|pentosan polysulfate|pyridoxal phosphate|peruvian balsam oil
oral medication for benzablock rhinitis||north american coral snake antivenin|coagulation factor viia (recombinant)|north american coral snake antivenin (equine)|coagulation factor ix (recombinant)|human coagulation factor viii|iris germanica var. florentina rhizome|para acetamido benzoic acid|recombinant human beta-glucuronidase|artemisia inodora flowering top|purple coneflower flowering top
cell-contents & metabolites e coli||bromhexine metabolite viii|bisolvon metabolite viii|lucanthone metabolite|bromhexine-metabolite viii|terfenadine acid metabolite|ricinus metallicus oil|recombinant human plasma gelsolin|calcitonin gene related peptide|glycine angustifolia seed oil|camelliae sinensis non fermentatum folium
ointment base||aminate base|patent blue|prilocaine base|pigment blue 16|monteplase|carbinoxamine base|colistimethate|coconut oil base|acintene a|ambenonium base
oxatomid||oxatomida|oxatomide|oxatomidum|oxatin|osalmid|oxytocin|ixazomib|pantomin|oxazolam|sonazoid
oral bowel irrigation agent||oxabolone cipionate|oral polio vaccine|arnica flower (arnica montana)|aloe muricata leaf|plasma protein fraction human|crystal violet carbocation|atriplex wrightii pollen|corylus virginiana nut|rabies virus inactivated antigen, a|rabies virus inactivated antigen, b
ethylene disistinate oxotechnetium (99mtc)||ethylenediaminetetraacetic acid|(ethylenedinitrilo)tetraacetic acid, ion(4−)|diethylene triamine pentaacetic acid|ethylenediaminetetraacetate|diethylenetriamine pentaacetic acid|technetium (99mtc)|diethylenetriaminepentaacetic acid|methylenebutyrylphenoxyacetic acid|arcitumomab technetium-99m|decamethylenebis(trimethylammonium)
nn1250||nd1251|nu1025|nv1020|afn-1252|c12:0|nnz-2591|du125530|nx-1207|nnc126-0083|vx15/2503
etc.||dedtc|lettuce|etc-588|tetrac|perch|escin|peach|ether|ehc18|etc-1001
nimotsuzumab||nimotuzumab|simtuzumab|imgatuzumab|sibrotuzumab|matuzumab|lintuzumab|elotuzumab|bivatuzumab|nemolizumab|romosozumab
oral anticoagulant for paf||recombinant coagulation factor xiii|human coagulation factor vii|human coagulation factor ix|human coagulation factor xi|human coagulation factor ii|human coagulation factor x|anti-inhibitor coagulant complex|antiinhibitor coagulant complex|human coagulation factor viii|blood coagulation factor xiv
octothiamine||octopamine|clothiapine|thiamine|acotiamide|clotiapine|pipothiazine|benphothiamine|ractopamine|chitosamine|benfotiamine
epa||e-epa|pepap|cpad|pea|dgebpa|heparin|mepatar|bepadin|nefopam|peg-pal
opikapon||opicapone|opicapona|ocinaplon|tolcapon|oxilapine|opipramol|veliflapon|onion|tolcapona|nepinalone
cell culture influenza vaccine (h5n1 strain)||varicella zoster vaccine (recombinant)|rubella virus vaccine live (wistar ra 27-3 strain)|dengue tetravalent vaccine (live, attenuated)|rabies virus vaccine flury-lep strain|varicella virus vaccine live (oka-merck) strain|varicella zoster immunoglobulin (human)|crotalus scutulatus immune fab antivenin (ovine)|live attenuated measles virus (schwartz strain)|varicella zoster vaccine (live/attenuated)|varicella zoster immune globulin (human)
enzartashid||enzastaurin|enzalutamida|enzalutamide|narasin|ensartinib|benzthiazid|narasino|narasine|benzthiazide|nazartinib
methyl norcholestenol iodo (131i)||norcholestenol iodomethyl i-131|iodocholesterol (131i)|iodocholesterol i-131|methyl ester nonanoic acid|methandrostenolone|4-methyl-2-oxopentanoic acid|methylchloroisothiazolinone|methyl undecenoyl leucinate|ethyl-eicosapentaenoic acid|methylenediphosphonic acid
opdivo||ddino|indio|opium|olive|sordinol|propanidido|propidium|emopamilo|propidine|iopamidol
ensure||endura|inspire|enflurane|azelainsäure|benfluorex|phenserine|stearinsäure|fenbufen|ecamsule|estrone
luceogliflozin hydrate||tofogliflozin anhydrous|remogliflozin etabonate|canagliflozin anhydrous|luseogliflozin|licogliflozin|silicon dioxide hydrate|cis-terpin hydrate|terpin hydrate|terpinol hydrate|citronellal hydrate
merilot extract||millet extract|marigold extract|malt extract|turmeric root extract|turmeric extract|muskmelon extract|mucor extract|amber extract|grain moth extract|pomegranate extract
celeraxin||cefalexin|cephradin|celecoxib|serelaxin|heteroauxin|ceractin|acelarin|telbermin|elubrixin|cefradine
opc-41061||oc-1012|orp-101|opc-51803|cc-401|onc-201|kp-1461|osi-461|nuc-1031|etc-1001|ore-1001
endoxan 1g||enoxacin|edoxaban|enoxacina|enoxacino|melanotan 1|enoxacinum|endostatins|indixanol|endostatin|enoxaparin
opc-262||opc-28326|onc-201|4sc-202|opc-14523|cc-220|cp-526423|cc-223|apr-246|sp-722|ono-2952
emend||heme d|emetine|lemon|heme c|dmpen|almond|eisen|simendan|hemina|selen
leukapheresis human red blood cell suspension||technetium tc-99m red blood cell human|technetium (99mtc) red blood cells|technetium tc 99m red blood cells|technetium tc-99m red blood cells|technetium tc-99m red blood cell|technetium tc 99m-labeled red blood cells|allogenic human dental pulp stem cells|anti-vegf humanized monoclonal antibody|cryopreserved human liver cells|l1 protein, human papillomavirus type 6 vaccine
estrogen [bound]||nitrogen monoxide|nitrogen chloride|nitrogen monooxide|estrogens,conjugated|estrogens, conjugated|nitrogen mustard|dinitrogen oxide|hydrogen borate|hydrogen iodide|estrone bisulfate
onsui-to||monitor|inositol|nequinato|onapristone|ensulizole|cocositol|ansuvimab|ponesimod|adonitol|nsi-189
elpasville||elbasvir|expansine|almasilate|elpamotide|velpatasvir|velpatasvirum|ebastine|ledipasvir|ledipasvirum|euflavine
cefthrosin sodium||reviparin sodium|ceftarolinum fosamilum|tinzaparin sodium|pegaptanib sodium|parnaparin sodium|methylrosanilinium|metocurini iodidum|ceftaroline fosamil|ceftarolina fosamilo|edta sodium
iclusig||tideglusib|cyclosia|diclosan|iclaprim|pictilisib|diclazuril|acalisib|inclisiran|nickelous ion|ciclesonide
e7080||e-7820|e7107|medi0680|ck0802|kd7040|peg-80|ren-850|al7089a|aer001|nd7001
onsei drinking||oleum ricini|osimertinib|horse skin|peridinin|domestic dog skin|arsenic trioxide|bovine aprotinin|siberian ginseng|nona-l-arginine|nonfat dry milk
jieno guest||dienogest|dienogestum|dienogestril|jie geng|altrenogest|oxigeno gaseoso|adenogesic|altrenogestum|etonogestrel|ginsenosides
ono-7847||ono-8539|ono-2952|jnj-27548547|osi-7836|jnj-78436735|ino-4800|osi-7904l|kosn-1724|azd-7687|nox-700
cefacetril sodium||cefacetrilum|cefacetrilo|reviparin sodium|pegaptanib sodium|cefacetrile|edetate sodium|alexitol sodium|cefatrizinum|cefaloridinum|porfimer sodium
dyslipidemia treatment||insulin detemir recombinant|desirudin recombinant|disodium tartrate|sorbide nitrate|d-isosorbide dinitrate|nesiritide recombinant|dihidroestreptomicina|lepirudin recombinant|isosorbide dinitrate|paclitaxel trevatide
hyperlipidemia agent (general drug)||superoxide dismutase (vegetarian)|hepatitis b surface antigen (rdna)|endolipide component egg lecithin|centruroides antivenin (equine)|kaempferia plantaginifolia root|insulin glargine (rdna origin)|dahurian angelica root (angelica dahurica)|menthae piperitae aetheroleum|chinese ephedra stem (ephedra sinica)|chinese ephedra root (ephedra sinica)
ono-7702||nm-702|ono-2952|nox-700|nov-002|azd-7762|ot-730|ag-702|ono-8539|vx-702|tnp-470
durotep||sulfotep|urate|aureotope|sulfotepp|d-ibuproten|sucrose|flurotyl|lurtotecan|thiotepa|suprofen
onji||onion|toronja|onrigin|snail|orris|sanqi|indio|honey|donu|clonidin
berte porphyrin||protoporphyrin|hematoporphyrin|haematoporphyrin|sn mesoporphyrin|tin mesoporphyrin|verteporfin|protoporphyrin ix|hematoporphyrin ix|verteporfina|coproporphyrin i
glycyrrhetinic acid||glycyrrhetic acid|glycyrrhizic acid|phloretinic acid|glycocholic acid|9-cis-retinoic acid|trans-retinoic acid|13-cis-retinoic acid|retinoic acid|retionic acid|18-beta-glycyrrhizic acid
cdp870||cg7870|cg0070|c18:0|ca-170|cdc-801|cdp323|cp 870,893|cep-37440|cp-94707|tnp-470
dsp-1747||cep-1347|kosn-1724|dtp-348|sp-722|bp-14979|em-1745|vsf-173|sp-876|sgi-1776|acp-104
gentiana||pentanal|gelatina|lentinan|fentiazac|fenotiazina|gentamicina|fentanila|fenitoina|geneticin|memantina
dried||trien|rice|piribedil|doripenem|daporinad|edratide|d-ribose|dipyrine|daturine|andarine
ones and 4 other drugs||knowing mother root|golden shower fruit|bosentan anhydrous|codeine anhydrous|sand ginger root|thioguanine anhydrous|nevirapine anhydrous|meropenem anhydrous|anser anser feather|entecavir anhydrous
diuretics||dimeticona|diosmetin|ripretinib|acitretin|dimethicone|depreotide|turmeric|davunetide|acitretine|dirucotide
oncovin||onion|inosin|covaxin|onrigin|nicotina|nicotine|monoolein|conchinin|folcodina|ergonovine
fluid replacement||gold, elemental|fluoresceína|fluoresceina|fluoresceine|fluorescein|flunisolide acetate|calcium, elemental|selenium elemental|titanium element|zinc, elemental
cdh3 peptide vaccine||vegfr2-169 peptide vaccine|pr1 leukemia peptide vaccine|chickenpox vaccine|hepatitis a vaccine|hepatitis b vaccine|hpv e7 peptide epitope vaccine|dengue vaccine|typhoid vaccine|cholera vaccine|oral polio vaccine
peritoneal dialysate (4-7)||menthyl salicylate, (+/-)-|porcine dynorphin a (1-17)|l-serine, acetate (ester)|iron sulfate (1:1)|iodine ioflupane (123i)|pentosane polysulfate|pyrithione disulphide|pentosan polysulfate|pyrithione disulfide|etynodiol diacetate
fats||date|yeasts|atp|oat|datp|folate|sulfate|catfish|lactose|lactase
disodium salt||disodium tartrate|disodium phosphate|sodium sulfate|disodium carbonate|disodium pyrosulfite|sodium apolate|bisodium tartrate|disodium pyrosulphite|sodium cation|sodium borate
onasemnogene abeparbovek||onasemnogene abeparvovec|onasemnogene abeparvovec-xioi|talimogene laherparepvec|voretigene neparvovec|taberminogene vadenovec|olenasufligene relduparvovec|alipogene tiparvovec|alferminogene tadenovec|timrepigene emparvovec|valoctocogene roxaparvovec
cddp||cd-np|cis-ddp|ddatp|ddavp|dpdpe|ca4p|cldado|dadps|cis-mdp|ddp733
diraglutide||liraglutide|dulaglutide|liraglutida|liraglutidum|beinaglutide|semaglutide|dulaglutida|dirucotide|elsiglutide|teduglutide
faszil hydrochloride||zirconyl hydroxychloride|acriflavine hydrochloride|aluminum hydroxychloride|adiphenine hydrochloride|zirconium hydroxychloride|calcium hypochlorite|lauric acid chloride|tin dichloride|sulfur chloride|ferric chloride
omnin rhinitis capsule||weeping forsythia capsule|mangifera indica pollen|ameiurus catus muscle|pinus echinata pollen|mountain arnica whole|pinus virginiana pollen|oleoresins of capsicum|pinus monticola pollen|bromus inermis pollen|common timothy pollen
cave urso s||cape aloes|shave grass top|clove bud oil|cavosonstat|cajeput oil|clove buds|carbarsone|cajeputol|acetarsol|carbarson
digitalis and preparations||damiana leaf preparation|schizandra preparation|siberian ginseng preparation|caviar preparation|salmon preparation|digitalis antitoxin|culex pipiens preparation|carduus marianus preparation|bos taurus gallstone preparation|oats preparation
kampo preparation (general medicine)||lenograstim (genetical recombination)|somapacitan (genetical recombination)|aflibercept (genetical recombination)|saussurea radix (inula helenium)|monostearate (glyceride)|alteplase (genetical recombination)|diaminopropanol tetraacetic acid|liraglutide (genetical recombination)|ocrelizumab (genetical recombination)|lipoprotein ospa antigen recombinant
olmecartan||olmesartan|telmisartan|losartan|fimasartan|irbesartan|somavaratan|tolmetin|lecozotan|valsartan|tolvaptan
dry anti-tetanus human immunoglobulin||rabbit anti-human thymocyte immunoglobulin|anti-coronavirus immunoglobulin|tetanus immunoglobulin|anti-sars-cov-2 immunoglobulin|rabbit anti-thymocyte immunoglobulin|antithymocyte immunoglobulin|human hepatitis b immunoglobulin|tetanus immune globulin|cytomegalovirus immunoglobulin|anti-d immunoglobulin
oligosaccharide||tn saccharide|l-saccharopine|iron saccharate|tn antigen saccharide|oleic chloride|oleoyl chloride|calcium saccharate|oleic acid chloride|saccharin|saccharopine
digestive nutritional supplement||dimethyl propionate ester heme|antivenin,crotalidae polyvalent|diethylenetriaminepentaacetate|artemisia ludoviciana pollen|celtis occidentalis pollen|distichlis spicata pollen|fraxinus velutina pollen|ambrosia trifida pollen|quercus velutina pollen|pinus virginiana pollen
2456001||dlo6001|chf-6001|vpm4001|ly-2456302|uk-500001|np-50301|pym50018|qgc-001|aki-001|cmc 001
dimethothiazine mesylate||dihydroergotoxine mesylate|tricaine mesylate|codergocrine mesylate|co-dergocrine mesylate|dihydroergotoxine mesilate|codergocrine mesilate|dimetotiazine|co-dergocrine mesilate|diphenhydramine theoclate|metronidazole benzoate
ole||olive|kale|indole|gold|folate|aerolef|ox bile|zoalene|toluene|cineole
diflupredante||difluprednate|isoflupredone|isoflupredona|doxifluridine|isoflupredonum|desflurane|diflorasone|trifluridine|fluprednidene|trifluperazine
concentrated||senna concentrate|canrenoate|coelenteramide|chromic nitrate|zinc citrate|cortone acetate|coleneuramide|torcetrapib|docetaxel|carbon, activated
catheter placement site inflammation||human plasma protein fraction|alteplase (genetical recombination)|washed microbiota transplantation|synthetic preimplantation factor|matricaria recutita preparation|cetyltrimethylammonium cation|atlantic halibut preparation|platelet activating factor|complement c1 esterase inhibitor|tetradecylbenzyldimethylammonium
oilax cream||opilio crab|nila leaf|oxiracetam|piracetam|nitalapram|oil palm|oil bergamot|oil, palm|oil of cedar leaf|monilia cutanea
common cold medicine||common olive leaf|common camellia seed oil|common lavender oil|common dandelion leaf|common wormwood root|common tobacco leaf|chloramphenicol hemisuccinate|moderna covid-19 vaccine|commiphora molmol resin|coconut oil, fractioned
ohta's isan||otamixaban|lonaprisan|nolasiban|potassium ion|octacosanol|ontamalimab|sitaxsentan|oftasceine|tasosartan|teprasiran
diastase combination drug (2)||plasma protein fraction (human)|somatropin (recombinant dna origin)|somatropin(recombinant dna origin)|glucagon (recombinant dna origin)|analogue of indinavir drug|teriparatide recombinant human|c1 esterase inhibitor (human)|plasma protein fraction human|insulin recombinant human|lanthanum cation (la3+)
liver hydrolyzate combination drug||glycosylated recombinant g-csf|l-dehydroascorbic acid|glycopyrrolate cation|aflibercept (genetical recombination)|clinker polypore fruiting body|protein hydrolyzates, soya|regn10933+regn10987 combination therapy|dehydro-l-ascorbic acid|4-hydroxy-aconitate ion|liraglutide (genetical recombination)
ofev||koffein|zofenil|coffein|monofer|nerofe|honey|olive|suprofen|baclofen|tofersen
diabetes medicine||diethylenediamine|diazepinomicin|diacetylmorphine|air, medicinal|dexmedetomidine|triacetyl uridine|octamethylenediamine|hexamethylenediamine|n-acetylmethionine|dibutyl succinate
catecoramine preparation||blue crab preparation|brown rice preparation|culex pipiens preparation|carduus marianus preparation|salmon preparation|caviar preparation|serenoa preparation|corn starch preparation|damiana leaf preparation|siberian ginseng preparation
ocv-c01||oc-1012|onc-201|acv-1|av-101|cc-401|orp-101|miv-701|svv-001|fav-201|obp-801
dex||betadex|juvidex|dextran|dmpen|dmxaa|didox|dedtc|date|pea|dianexin
combination of methionine and magnesium aluminate metasilicate||hydrate magnesium aluminate activated sulfate|magnesium aluminometasilicate|aluminium magnesium silicate (attapulgite)|acetic acid, magnesium salt, tetrahydrate|aluminium magnesium silicate polyhydrate|coagulation factor ix (recombinant), albumin fusion protein|magnesium aluminium silicate|aluminium magnesium silicate hydrate|magnesium aluminum silicate|recombinant nematode anticoagulant protein c2
o2||iso24|bv2|oat|okra|pork|s-23|donu|gold|neon|corn
cock||cocoa|cck-8|corn|pork|duck|crocin|cocain|cocaine|haddock|cocaina
catecholamine||carbacholine|ethanolamine|cyanocobalamine|triethanolamine|catechin|trolamine|arecoline|citicoline|cinchocaine|amethocaine
diastase combination drug (1)||plasma protein fraction (human)|somatropin (recombinant dna origin)|somatropin(recombinant dna origin)|glucagon (recombinant dna origin)|thallium cation tl-201 (1+)|analogue of indinavir drug|teriparatide recombinant human|plasma protein fraction human|c1 esterase inhibitor (human)|recombinant interleukin-12
dental antibiotic preparation||atlantic halibut preparation|garden snail mucin preparation|damiana leaf preparation|eleuthero preparation|culex pipiens preparation|cod, unspecified preparation|boswellia serrata preparation|matricaria recutita preparation|lamb preparation|salmon preparation
nucleic acid analog||acetic acid anion|oleic acid chloride|acetic acid, glacial|gluconic acid lactone|acetic acid chloride|nicotinic acid amide|nitric acid, anhydrous|acetic acid, zinc salt|penicillanic acid sulfone|sulfuric acid ion(2-)
chisagen recle usel||tisagenlecleucel|tisagenlecleucel-t|axicabtagene ciloleucel|cabbage rose oil|cabbage rose water|sage leaf oil|cayenne pepper seed|echinacea purpurea|chicken egg white|chinese sage root
denotas||adrenostan|penta|fenobam|adenosin|endostar|denosumab|repinotan|dienogest|senrebotase|dextran
novora pit||novocaine|nevirapina|nevirapine|novobiocin|nicorandil|sophora root|jojoba oil|oenothera oil|northern pike|goraka fruit
castration drug||coast rainbow trout|cilastatinum|maranon fruit|coast angel trout|lovastatin acid|caltrop fruit|chromate ion cr-51|pravastatin acid|alitretinoinum|isotretinoinum
dd-687||azd-7687|tc-6987|da-6886|imr-687|azd-6280|lgd-6972|ar-67|azd-6482|azd-4877|azd-9684
sulpyrine hydrate||terpinene hydrate|terpin hydrate|silica hydrate|terpinol hydrate|cis-terpin hydrate|sodium hydrate|piprinhydrinate|lithium hydrate|chloral hydrate|silica, hydrated
novantrone||banoxantrone|dantrone|pixantrone|mitoxantrone|florantyrone|bolasterone|urogastrone|dantron|dantrona|oestrone
calcium channel blocker||calcium chloride|calcium carbonate|calcium ethanoate|calcium lactate gluconate|calcium cyanamide|calcium caseinate|calcium carbimide|calcium laevulate|calcium hypochlorite|calcium 10-undecenoate
darotsumab||dalotuzumab|daratumumab|burosumab|denosumab|carotuximab|garetosmab|crotedumab|olaratumab|tarextumab|narnatumab
casseki||casein|cashew|castem|cashews|cassia oil|cascade|casse leaf|cashew seed|lorcaserin|cozymase i
bifidobacterium preparation (2)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium liberorum whole|bifidobacterium lactentis whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|carduus marianus preparation|boswellia serrata preparation
dapro dustat||daprodustat|énarodustat|enarodustat|roxadustat|vadadustat|enarodustatum|irosustat|apratastat|desidustat|azuprostat
nardemidine tosylate||arginine pidolate|tricaine mesylate|uridine phosphate|adenosine phosphate|terfenadine carboxylate|tyramine o-sulfate|uridine triphosphate|codergocrine mesylate|adenosine triphosphate|co-dergocrine mesylate
nourishing tonic that is not classified elsewhere||norethindrone acetate 3-cyclopentyl enol ether|vitamin e nicotinic acid ester|aminophosphonic acid-guanylate ester|p-aminobenzoic acid 2-diethylaminoethyl ester|rosmarinus officinalis (rosemary) leaf powder|4-aminobenzoic acid 2-diethylaminoethyl ester|phosphoaminophosphonic acid guanylate ester|mycophenolic acid morpholinoethyl ester|prunus armeniaca (apricot) seed powder|uridine 5'-pyrophosphate glucose ester
dalaprim||iclaprim|delapril|ánalapril|enalapril|enalaprilum|talopram|lapyrium|doxapram|danaparoid|talaporfin
casodex||cascade|cashew|castem|nasovax|carbomer|dapsone|aurodox|carbose|betadex|lawsone
noscabine hydrochloride||acriflavine hydrochloride|adiphenine hydrochloride|aluminum hydroxychloride|zirconium hydroxychloride|zirconyl hydroxychloride|scopolamine hydrobromide|calcium hypochlorite|n-propylcarbinyl chloride|dodecanoyl chloride|nitrogen trichloride
basic solution for high-calorie infusion (5-5)||calendula flower olive oil infusion|coagulation factor viia (recombinant)|coagulation factor ix (recombinant), albumin fusion protein|fc il-2 mutein fusion protein (amg-592)|sheep corticotropin-releasing factor (1-41)|coagulation factor viia recombinant human|fractionated triglyceride of coconut oil|immune-globulin for coronavirus disease (covid-19)|basic ferric sulfate solution|liraglutide (genetical recombination)
iobel sole||ioversol|clobetasol|ulobetasol|clobetasone|ricobendazole|english sole|ulobetasolum|licofelone|betazole|iomeprol
cyclopyrox olamine||cyclopropane|cyclopentamine|cyclophosphamide|chlorpyramine|chloropyramine|scopolamine|cyclopropan|halopyramine|cyclopentolate|chloroprocaine
norvasc||norvaline|coronavac|narasin|l-norvaline|carvasept|cortancyl|narasine|hoegrass|torapsel|picovacc
bani preville||vaniprevir|vaniprevirum|vaniprévir|danoprevir|banisterine|paritaprevir|manienie pollen|anistreplase|banol phenol|elamipretide
cyanoacrylate||2-octylcyanoacrylate|candoxatrilate|2-octyl cyanoacrylate|butyl 2-cyanoacrylate|octyl-2-cyanoacrylate|n-butyl cyanoacrylate|acrylate|ocrylate|candoxatrilat|trandolaprilate
norovirus antigen kit||centruroides antivenin|british antilewisite|crotaline antivenin|rotavirus vaccine|vaccinia virus live antigen, b|rubella virus live antigen, a|ricinus sanguineus oil|tenofovir alafenamide|coral snake antivenin|british anti-lewisite
bakumondou||almond|bakuchiol|carumonam|aurodox|aluminio|brimonidinum|cefamandolum|nabumetonum|bamboo top|cefamandol
cs7017||sl017|cx-717|cta018|cts-1027|ncx 701|ns-018|cx501|ct-011|cp-601927|cgs-27023
casanthranol + docusate sulfosuccinate||dioctyl sulfosuccinate|para-toluene sulfonate|alpha-l-iduronate sulfate sulfatase|d-alpha-tocopherol acid succinate|alpha-tocopherol succinate|estradiol hemisuccinate|methylprednisolone hemisuccinate|alpha-tocopheryl acid succinate|chloramphenicol hemisuccinate|methylprednisolone succinate
normal saline||norsertraline|noradrenaline|nor-adrenaline|norvaline|lortalamine|norfloxacine|olsalazine|endralazine|norimipramine|somatostatine
crestor||cresol|presatovir|redtop|creatin|creosote|p-cresol|3-cresol|m-cresol|creosota|resatorvid
intravesical dry bcg (connaught strain)||bcg, live, connaught strain|interferon beta-1a (recombinant human)|meningococcal group ccrm197 conjugate vaccine|tetradecyl hydrogen sulfate (ester)|live attenuated measles virus (schwartz strain)|rabies virus vaccine flury-lep strain|italian rye grass pollen extract|angelica dahurica root extract|interleukin-1 receptor antagonist anakinra|perennial rye grass pollen extract
artificial dialysate (3-3)||artificial cow-bezoan|acetic acid, sodium salt (1:1)|carbonic acid sodium salt (1:2)|catechin gallate, (+)-|acacia dealbata gum|carbonic acid calcium salt (1:1)|artemisia douglasiana pollen|menthyl salicylate, (+/-)-|acacia dealbata pollen|adipic acid ion (2-)
norepine phrine||norepinephrine|l-norepinephrine|norepinephrinum|norépinéphrine|(−)-norepinephrine|(r)-norepinephrine|racepinephrine|epinephrine|norepinefrina|levoepinephrine
