dialinate||alginate|dinaline|dialyvite|driminate|sinapinate|dinate|dialyte|folinate|dibunate|hylinate
bifidobacterium preparation (5)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium liberorum whole|bifidobacterium lactentis whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|carduus marianus preparation|boswellia serrata preparation
pancreatic digestive enzyme ta||pancreatine enzymes|rite aid digestive relief|quanterra digestive comfort|pancreatin and enzyme formula - tablet|pancreatic extract pancrelipase|up and up digestive relief|acetoacetyl coenzyme a|neo life enzyme tab|ultra strength digestive relief|pancrease enteric coated cap
lulu attack||alkums antacid|blue stick|uline antacid|lupaneta pack|levulan kerastick|calcium antacid|rexall antacid|purple stick|sulfur mask|lucinactant
hyperlipidemia agent (general drug)||spectra 301 vitamin and mineral supp|superoxide dismutase (vegetarian)|ameriderm antibacterial wash|pcxx peppermint neutral gl|renk time lab intense age renewal serum|super 7 vitamin and mineral supplement|rite aid extra strength tropical fruit|publix extra strength tropical fruit|multivitamins and minerals for men|ethical herbals siberian ginseng energy formula
carpipramine maleate||trimipramine maleate|carbinoxamine maleate|chlorpheniramine maleate|pyrilamine maleate|brompheniramine maleate|dexchlorpheniramine maleate|prochlorperazine maleate|asenapine maleate|chlorpheniramine maleate 4mg|imipramine pamoate
pancreas extract||usnea extract|oat meal extract|pine bark extract|cashew extract|damiana extract|crataegus extract|tea extract|mate extract|cocoa extract|phoma extract
carmonum sodium||cromolyn sodium|naproxen sodium|seconal sodium|warfarin sodium|parecoxib sodium|cefazolin sodium|foscarnet sodium|chromitope sodium|acremonium roseum|cefuroxime sodium
pancilon||panlor|anilin|ancobon|halcion|nabilon|tensilon|pantoloc|mercilon|pagoclone|pecilocin
gentiana||gelatina|lentinan|pentican|pentanal|fentiazac|fenotiazina|gentamicina|gentak|extina|jevtana
cardiovascular drugs||cassia fistula fruit|cardui mariae fructus|carbidopa anhydrous|carbidopa (anhydrous)|scar zone scar cream|antibiotic ear drops|cassia excelsa fruit|carduus marianus|mario badescu aloe spf|careone cold and cough
paeonia x suffruticos||acido sulfurico|evernia stictoceros|panax verus fruit|careone lice solution|placenta ex emulsion|agni casti fructus|passion fruit kiss|acidum sulfuricum|pacinia putrifica whole|mizon uv sun protector
bofutsushosan||busulphan|sorbutuss nr|biogtuss nf|nofetumomab|donatussin|tensiosan|fitusiran|buscopan|busulfan|basosan
liver extract||amber extract|aloe vera extract|caviar extract|millet extract|licorice extract|tea extract|mate extract|usnea extract|mucor extract|honey extract
fluid replacement||fluoride treatment|lip treatment|lice treament|lice treatment|licemd treatment|burn treatment|blemish treatment|fluad quadrivalent|l.c. supplement|liver supplement
cardiovascular drug||cassia fistula fruit|scar zone scar cream|cassia excelsa fruit|carbidopa anhydrous|baramo scalp serum|cardizem sr 60mg|cardizem sr 90mg|careone cold and cough|cardui mariae fructus|carbidopa (anhydrous)
paeonia lactiflora root||fallopia multiflora root|reynoutria multiflora root|kaempferia latifolia root|campanula grandiflora root|leuzea uniflora root|fallopia multiflora root tuber|rehmannia glutinosa root|fagopyrum multiflorum root|platycodon grandiflorum root|platycodon grandiflorus root
fats||infants|fiasp|yeasts|folate|date|datp|lantus|vantas|actos|oat
sanil budin||sanilvudine|sani suds|anileridine|anileridina|anilin|sanisudz|silibinin|sani stix|denibulin|lamivudin
packed human||factor i human|secretin human|backaid max|protein c human|protein s human|peace out acne|pate d unna|pamrevlumab|factor vii human|backup plan
cardiotonic vasodilator||antibiotic application|careone lice solution|carimune nanofiltered|cardioquin tablets|star-otic solution|crotonic aldehyde|calcitonin salmon|critic aid clear|cardiodilatin|ibandronic acid accord
liposome||lipsorex|lipodox|lidodose|lipovite|lidosite|lipamone|lipoamide|lubiprostone|prosom|lipofen
dry anti-tetanus human immunoglobulin||rabbit anti-human thymocyte immunoglobulin|anti-coronavirus immunoglobulin|tetanus immunoglobulin|anti-sars-cov-2 immunoglobulin|rabbit anti-thymocyte immunoglobulin|antithymocyte immunoglobulin|human hepatitis b immunoglobulin|tetanus immune globulin|cytomegalovirus immunoglobulin|anti-d immunoglobulin
carbop999||carbopol|carbophos|carbon|carbose|carbono|carbomer|carboxin|carbogen|carbonate|carbomere
sakura bark extract||pine bark extract|cascara sagrada extract|rhubarb extract|cat hair extract|cat dander extract|curvularia extract|karaya gum extract|yerba mate extract|sisal fiber extract|sinapis alba extract
carbohydrate||carbonate|carbosylane|chloral hydrate|carbonyldiamide|carbomere|rehydralyte|carbomycine|carboplatine|cocarboxylase|chloralhydrat
dimethothiazine mesylate||deferoxamine mesylate|dihydroergotamine mesylate|phentolamine mesylate|dihydroergotoxine mesylate|tricaine mesylate|benztropine mesylate|codergocrine mesylate|bromocriptine mesylate|imatinib mesylate|doxazosin mesylate
p8vka-i||pvp-i|pivazide|verkazia|prevasil|prevacid|prikaan|ätzkali|jakafi|riva-d|jakavi
p-ag||l-arg|d-tag|pc-tar|pea|hp-pac|dtp-a|me-gag|pear|p-care mg|plx-pad
concentrated||centratex|senna concentrate|contraseed|zometa concentrate|m.t.e.-4 concentrated|m.t.e.-6 concentrated|contrave|concerta|canrenoate|convenicare
oypalomin||pantomin|cobalamin|tylvalosin|co-balamin|cephalotin|aloin|yasmin|oromin|osalmid|tylosin
elemental diet for liver failure (1)||eleven perfect form lip balm 15 love|male genital desensitizer stud 100|leader pain reliever childrens|dye free pain reliever childrens|ultra fine mist premier value|eleven perfect form tinted lip balm game day|elemental hand sanitizer|menstrual pain relief maximum strength|age renewal deep wrinkle moisturizer|medline saline laxative for children
oxypetacorn||oxametacin|oxymetazoline|oxymetazolina|oxetacaine|oxymetholon|oxyterracin|oxymetazolinum|proxymetacaine|oxymethazoline|oxytetracyclin
lhrh||gelphresh|linhart|clara|ultra|lorid|zarah|birch|l-ohp|alert|alora
capillary stabilizer||capilo hand sanitizer|iv stabilizer|calily hand sanitizer|dr h stabilizer|cala hand sanitizer|apol hand sanitizer|cellapy dr sanitizer|covanil hand sanitizer|iv solution stabilizer|aillia fresh sanitizer
oxifast||oxistat|corifact|oxi wash|oxilan|modipafant|eovist|orlipastat|horizant|osigraft|oxicleanse
lh-rh agonist||l-rhamnose|l-rhamnitol|l-threonine|l-theanine|l-threonin|rhino afrodita|l-asparaginase|l-homoarginine|l-thiaproline|liothyronine
chisagen recle usel||tisagenlecleucel|tisagenlecleucel-t|childrens relief cherry|axicabtagene ciloleucel|exchange select nasal|crystal miracle multi|mhs pain relief oil|pain relief muscle|cabbage rose oil|pain relief gel
oxidized mg||oxidized vitamin c|oxidized coenzyme a|oxidanide|famotidine 10mg|ethiodized oil|oxidized cellulose|oxidized glutathione|folic acid 1mg|oxygen size m|tioxidazolum
cancer peptide vaccine||vegfr2-169 peptide vaccine|pr1 leukemia peptide vaccine|hpv e7 peptide epitope vaccine|varicella vaccine|pertussis vaccine|oral polio vaccine|chickenpox vaccine|japanese encephalitis vaccine|pearson mepivacaine|cvncov vaccine
oxerazine citrate||orphenadrine citrate|toremifene citrate|caffeine citrate|zinc citrate|ferric citrate|trizinc dicitrate|oxiconazole nitrate|sorbide nitrate|tamoxifen citrate|econazole nitrate
calcium channel blocker||calcium lactate powder|calcium ascorbate powder|calcium chloride|calcium ethanoate|calcium carbonate|calcium lactate gluconate|calcium carbimide|calcium laevulate|calcium cyanamide|calcium caseinate
calipeptide||c-peptide|calmoseptine|acv tripeptide|cariporide|amineptine|cibinetide|alizapride|pasireotide|gp2 peptide|elamipretide
leukotriene receptor antagonist||interleukin-1 receptor antagonist anakinra|levetiracetam actavis|neutrogena clear pore acne treatment|listerine freshburst antiseptic|sensodyne repair and protect|ecotrin regular strength|follotropin recombinant|equaline lice treatment|lepirudin recombinant|luseta rinse free hand sanitizer
narutograstim (genetical recombination)||lenograstim (genetical recombination)|laronidase (genetical recombination)|alteplase (genetical recombination)|somatrem (genetical recombination)|galsulfase (genetical recombination)|liraglutide (genetical recombination)|burosumab (genetical recombination)|abciximab (genetical recombination)|adalimumab (genetical recombination)|ocrelizumab (genetical recombination)
over-the-counter supplements||beta carotene supplement|v-v dietary supplement|bio-cee dietary supplement|super-pote vitamin supplement|iron dietary supplement|biocalth calcium supplement|formula r mineral supplement|e-prime vitamin e supplement|formula 14 dietary supplement|selenium supplement
bifidobacterium preparation (2)||bifidobacterium infantis|bifidobacterium infantis whole|bifidobacterium lactentis whole|bifidobacterium liberorum whole|bifidobacterium breve|bifidobacterium longum infantis|bifidobacterium longum infantis whole|brown rice preparation|boswellia serrata preparation|carduus marianus preparation
out c liquid||outgro liquid|tanac liquid|docu liquid|vitamin c liquid|cold liquid|ornade liquid|bismuth liquid|rite aid liquid|multi mins liquid|zap liquid
bakumondoto||butonato|bamboo top|almond food|bucindolol|blacksamson root|bunamiodilo|ibandronate|buquinolato|broncotron|bopindolol
bani preville||vaniprevir|vaniprevirum|danoprevir|vaniprévir|max revive|banisterine|anti wrinkle|nars deauville|saline refills|basic care allergy
ots||roots|oat|optase|roteas|hops|cotabs|softis|optison|potasio|comtess
lda||clodan|lidall|mmda|cldado|l-dopa|xeloda|latuda|lialda|lindan|aldara
bakumondou||aluminio|aurodox|almond|carumonam|bakuchiol|brimonidinum|cefamandolum|almond food|nabumetonum|cefamandol
vitamins (1-1)||vitamin b-12b|vitamin a1|vitamin k1|vitamin b1|vitamin l1|vitamin b12|vitamin b13|vitamin d-3|vitamin b-2|vitamins a d
artificial dialysate (3-3)||artificial tears plus|artificial tears extra|artificial eye|artificial tears|artificial tears lubricant eye|artificial tears lubricant eye drops|artificial tears for dry eyes|pms-artificial tears plus sol|nwi artificial tears eye|artificial cow-bezoan
lactated pleniramine||lactated pepsin|octamethylenediamine|lactated ringers|act clomipramine|lactase enzyme|chlorpheniramine|pentamethylenediamine|careall diphenhydramine|4-azaoctamethylenediamine|glycerinated phenol saline
other sensory organ drugs (general drugs)||aveeno baby organic harvest diaper rash|clear men strong and full antidandruff|childrens allergy dye free wal dryl|topcare gentle dandruff clinical strength|good sense gas relief extra strength|clear men ocean mineral antidandruff|therabreath healthy gums oral rinse|mothers promise hand clean gel soft|childrens allergy dye-free wal dryl|clear canal earwax softener drops
β-galactosidase (aspergillus)||hemicellulase (aspergillus niger)|alpha-galactosidase a|mixed aspergillus|alpha-d-galactosidase enzyme|co-galactoisomerase|aglucosidase alpha|alglucosidase alfa|aglucosidase alfa|l-asparaginase (erwinia)|giltuss allergy plus
octothiamine||octopamine|clothiapine|thiamine|acotiamide|clotiapine|pipothiazine|benphothiamine|trophamine|chitosamine|ractopamine
kujin||yu jin|kuvan|rutin|cumin|nubain|kadian|inulin|kanjinti|katine|oubain
luceogliflozin hydrate||tofogliflozin anhydrous|remogliflozin etabonate|canagliflozin anhydrous|luseogliflozin|licogliflozin|lanoline hydratee|silicon dioxide hydrate|cis-terpin hydrate|cidofovir dihydrate|chloral monohydrate
other respiratory system products||allergy lil drug store products|stomach lil drug store products|antiseptic lil drug store products|fote spacology skin protectant|congestion relief lil drug store products|24 hour allergy lil drug store products|northern paper wasp venom protein|antiperspirant above sem perfume|theresienol md skin protectant|ventolin respirator solution
those that act mainly on gram-positive bacteria and mycoplasma||star war mandalorian antibacterial hand wipes|ecosave grapefruit and lemongrass soap antibacterial hand soap|star wars the mandalorian antibacterial hand wipes|love and beauty melon and mint anti-bacterial hand sanitizer|pomegranate &amp; mango antibacterial hand soap|purse essentials hand sanitizer anti-bacterial hand vanilla sugar|botanika australia aloe vera anti bacterial hand sanitizer|healing waters mandarin vanilla antibacterial hand soap|dial white tea and vitamin e antibacterial hand soap|smooth groom society american edition antibacterial hand wash
calcium antagonist agent||calcium and magnesium tablets|calcium antacid extra strength|calcium and magnesium tab|aluminum acetate astringent|calcium antacid|calcium alginate|calcium magnesium tab|calcium acetate 667 mg|calcium et magnesium tab|calcium lactate tab 10gr
krategus extract||crataegus extract|karaya gum extract|mate extract|rat skin extract|artemisia extract|wheat rust extract|pyrethrum extract|eucalyptus extract|tea extract|cat skin extract
kotaro||potato|outgro|klaron|kynamro|sotamol|vitaros|sotalol|altargo|alotano|dotarem
calcium antagonist||calcium antacid|calcium cation|calcium alginate|calcium ions|calcium lactate|calciumcarbonat|calcium acetate|calcium gluconate|calcium threonate|calcium carbonate
jieno guest||dienogest|dienogestum|dienogestril|jamp dienogest|jie geng|altrenogest|oxigeno gaseoso|jentadueto|meprogest|adenogesic
jiuqu||ju ju|jeuveau|jiaokou|juluca|ioquin|piquin|bicnu|iquix|jynarque|cin-quin
stimulant therapy||instant therapy|stimulant laxative|zinc therapy|hand therapy|damoae therapy|root canal therapy|neriumrx acne therapy|alra therapy|acne therapy|gentle therapy
other over-the-counter drugs||kroger menthol cough drops|meijer menthol cough drops|kroger cherry cough drops|herbomint cough drops|sheer coverage foundation spf 15|theratears lubricant eye drops|berry soother throat drops|meijer cherry cough drops|nice assorted cough drops|oxy on-the-go acne stick
berte porphyrin||protoporphyrin|hematoporphyrin|haematoporphyrin|sn mesoporphyrin|tin mesoporphyrin|verteporfin|protoporphyrin ix|hematoporphyrin ix|verteporfina|coproporphyrin i
sanso drinking||dso dressing|sandoz brimonidine|sandoz aliskiren|sandoz idoxuridine|sandoz memantine|sanitizing|asian ginseng|kang du qing|sandoz cortimyxin|stannsoporfin
calcineurin inhibitor||calpain inhibitor iv|fibrinolysis inhibitor|hiv integrase inhibitor|naphthyridine inhibitor|dynamin inhibitor i|human c1 inhibitor|alpha1-proteinase inhibitor|c1 inhibitor|calcitriol injection|bacitracin antibiotic
investigational new drug||international harbor|prestige snail repairing|universal original petroleum|simvastatin tablets 10mg|simvastatin tablets 20mg|simvastatin tablets 40mg|freds original eye drops|simvastatin tablets 80mg|simvastatin tablets 5mg|national weed mix
other otolaryngological agents||valtrum soothing topical analgesic|rocainol topical analgesic|neo laryngobis enf|tiger supply inc topical anesthetic|tetragel punch topical analgesic|prep solution topical antiseptic|acid control original strength|painkoolers topical analgesic|germstar original unscented|metronidazole topical gel
sanshishi||sanchi|vanish|saniti|senshio|vanquish|sonahist|sani stix|sunvanish|sangbaipi|stasis
investigational drug||international harbor|pine twig oil dwarf|pravastatin sodium|fluvastatin sodium|intensive tone up|neostigmine omega|simvastatin tablets 20mg|simvastatin tablets 40mg|simvastatin tablets 80mg|simvastatin tablets 10mg
kampo preparation (general medicine)||preparation h medicated wipes|preparation h hydrocortisone|preparation h rapid relief|orajel multi-action cold sore medicine|pharmacys prescription analgesic gel|pure transformation sheer medium|rite aid renewal medicated|preparation h for women|nu skin clear action acne medication toner|alcohol prep pads non sterile medium
c mixed preparation||cold preparation|caviar preparation|lamb preparation|skin preparation|honey preparation|brown rice preparation|schizandra preparation|culex pipiens preparation|salmon preparation|serenoa preparation
c||mcc|avac|fica|c31g|talc|mc-1|ic41|ca4p|rice|zinc
inotsumabu ozogamicin||inotuzumab ozogamicin|gemtuzumab ozogamicin|trastuzumab duocarmazine|pinatuzumab vedotin|indusatumab vedotin|anetumab ravtansine|enfortumab vedotin|sandoz gentamicin|liposomal amphotericin b|indatuximab ravtansine
other ophthalmic agents||neo bace ophthalmic ointment|optimyxin ophthalmic ointment|neosporin ophthalmic ointment|ophtrivin a ophthalmic dps|polytrim ophthalmic solution|garasone ophthalmic ointment|ketotifen ophthalmic solution|polycidin ophthalmic ointment|erythromycin ophthalmic ointment usp|olopatadine ophthalmic solution
sanactase l||sanacare|sanatos x|lactase|sanatos|santigel|sanitaxe|fanapanel|galactose|tilactase|samatasvir
bz hypnotic||re benzotic|baza protect|benz protect|bzk antiseptic|benz o sthetic|biphentin|hypnosom|betoptic|bystolic|ms hemostatic
inhaled steroids||finasterida|finasteride|mint-dutasteride|cholesterol|aldosterone|ach-finasteride|aldosteronum|finasteridum|hand sanitizer kids|mint-finasteride
diastase combination drug (1)||monistat 1 combination pack|monistat 3 combination pack|miconazole 3 combination pack|city base compact foundation spf 15|hops-valerian combination cap|moisture rich foundation spf 15|matchmaster foundation spf 15|medium tan foundation spf 15|monistat 1 combination pack triple action|monistat 7 combination pack triple action
bym338||pyy3-36|mw33|ly-3039478|ly573636|pym50018|pyy 3-36|lll-3348|tm30339|mbo7133|amg-337
saiko seikokuto||saniquick solution|snail solu tion|bario sulfato|star-otic solution|sandoz risedronate|acido risedronico|septisol solution|acido medronico|acido iotroxico|esika silk skin
other mineral products||proforce commercial products|medshield products|heavy mineral oil usp|smooth minerals lipgloss|leader mineral oil|heavy mineral oil|general protection|soothe and cool protect|white mineral oil|sport mineral sun
sulpyrine hydrate||terpinene hydrate|terpin hydrate|silica hydrate|lanoline hydratee|terpinol hydrate|cis-terpin hydrate|sodium hydrate|lithium hydrate|chloral hydrate|piprinhydrinate
ryukotsu||roots|rukobia|leukotrap|rutosidum|ruconest|brukinsa|rybelsus|rynatuss|rylosol|puttisu
nardemidine tosylate||amlodipine besylate|bretylium tosylate|rasagiline mesylate|tricaine mesylate|arginine pidolate|uridine phosphate|adenosine phosphate|ziprasidone mesylate|terfenadine carboxylate|quinidine sulfate
hypotensive drug||protective day|lotensin 20mg|nymphsyn intensive serum|lotensin 10mg|drh intensive bb|protective hand|protective cream|lotensin 5mg|aptensio xr|intensive tone up
byakushaku||bakuchiol|benzashave|bamethanum|barusiban|black oak|plak smacker|roxadustatum|black stick|dakins half|brazikumab
iobel sole||ioversol|ulobetasol|clobetasol|clobetasone|inoderm style|ricobendazole|tubersol|lobeline|ulobetasolum|iomeprol
other liver disease agents||protective disinfectant|spotless cleanser bioelements|herklin lice treatment|deluxe dish detergent|the itch eraser gel|st. ives elements|gerber diaper rash ointment|triple defense treatment|otrivin medicated sinus|cod liver oil capsules
byakugo||bakuchiol|byfavo|myambutol|hytakerol|biafungin|byvalson|cystagon|synalgos|bydureon|koselugo
bushimatsu||sublimat|bimayou|tussicaps|benzimate|stimate|ultimate|buminate|sublimate|fusidate|buquinolatum
placental villus degradation products||antiseptic lil drug store products|allergy lil drug store products|central venous catetherization kit|central vein catheterization kit|stomach lil drug store products|congestion relief lil drug store products|arrow central venous catheterization kit|optical illusion foundation spf 15|clearasil ultra rapid action pads|adult tussin dm lil drug store products
hostetsupitant||fosnetupitant|netupitant|fosaprepitant|orvepitant|vestipitant|serlopitant|fosaprépitant|setipiprant|fosaprepitantum|aprepitant
hormone therapy||damoae therapy|hand therapy|acne therapy|phisoderm acne therapy|cold sore therapy|phyto therapy|gentle therapy|helidac therapy|dry eye therapy|cord blood therapy
other individual organ system drugs (over-the-counter drugs)||condition and enhance system travel-size non-surgical|the original mane n tail daily control anti dandruff|zo skin health skin normalizing system with rozatrol booster serum|herbion naturals orange cough drops sugar free|better living brands childrens fever and pain reliver|20 pack individual antibacterial hand wipes - fresh|condition and enhance system travel-size surgical|the original natural herb cough drops|theraflu warming relief daytime severe cold and cough|condition and enhance system full-size non-surgical
diabetes drug||diabeta 5mg|diabet aid|diabeta tab 5mg|generic drug|paramettes syrup|diabeta tablets 2.5mg|diabeta tab 2.5mg|dienestrolum|dilatrate sr|devil's dung
budralazine||endralazine|cadralazine|hydralazine|hydrallazine|butalamine|hydralazin|idralazina|cadralazina|hidralazina|endralazina
homika extract||phoma extract|damiana extract|chamomile extract|cocoa extract|honey extract|hog skin extract|mate extract|malt extract|caviar extract|artemisia extract
vitamins (1-2)||vitamin b-2|vitamin b12|vitamin b-12b|vitamin l2|vitamin b1|vitamin a1|vitamin k1|vitamin d2|vitamin b2|vitamin l1
hmg-coa reductase inhibitor||human c1-esterase inhibitor|alpha-1 protease inhibitor|hiv integrase inhibitor|alpha1-proteinase inhibitor|alpha 1-proteinase inhibitor|alpha-1-proteinase inhibitor|plasma protease c1 inhibitor|mercaptocarboxylate inhibitor|histone deacetylase inhibitor iii|complement c1 esterase inhibitor
other gout remedies||throat relief|heb mouth sore relief|father johns medicine|soothe tired eyes|theraflu cough relief|colgate dry mouth relief|throat relief pops|bayer fast release|sohmed cold relief|allergy get relief
brufen tablets||ibuprofen tablets|preven tablets|naproxen tablets|pronal tablets|actifed tablets|alophen tablets|dristan tablets|betnesol tablets|bosentan tablets|arthriten tablets
mysterious hot water||bacteriostatic water|sterile water|medi plus zero water|panax verus root water|steritouch hand sanitizer|miaojun heat paster|but first water|cerous oxalate|salut sterilization water|marvelous hand sanitizer
hib vaccine||bcg vaccine|ruti® vaccine|typhoid vaccine|vivacaine|dibekacine|rhino-vaccin|gx-19 vaccine|cholera vaccine|anthrax vaccine|cigb 2020 vaccine
hib||acthib|honibe|cholib|halibut|hibidil|hiberix|act-hib|hämin|hivid|uhdbt
bronchodilator (general drug)||dollar general gold|minoxidil for men extra strength|pcxx vanilla orange neutral gl|broncolin honey eucalyptus|bronchosirum pour enfants|bronchophan forte dm syr|bronchodex pediatrique|renovating regenerating serum|broncho dilate|broncho-saline aerosol 0.9%
other dialysis drugs||theragesic plus|theraplusplus plus|super lysine plus|theraplus plus|tusnel pediatric drops|g-tron pediatric drops|the diaper duty set|original eye drops|thea sirensis tea|theragesic creme
ly21273799||ly2275796|bay1213790|ly-2623091|ly-2811376|ly2828360|ly2140023|ly2181308|ly-2334737|ly-2452473|ly2062430
hf1||rh-1|gft14|ehc18|mf101|hoa 1|h-710|ifnw1|hu3f8|hs100|h-701
hep||chenpi|hespan|hops|innohep|chen pi|heparin|aphenap|herplex|hepsera|nespo
lomitapidomesylate||ergoloid mesylate|imatinib mesylate|ziprasidone mesylate|tricaine mesylate|doxazosin mesylate|ergoloid mesylates|amlodipine besylate|bromocriptine mesylate|lomitapida|lomitapide
head boil one side||heb povidone iodine|leader povidone iodine|hasol intensive|prevail one step|next choice one dose|leader povidone - iodine|heb brilliant white|freds povidone iodine|rite aid povidone iodine|head congestion
broact||rofact|react|briviact|promacta|baro-cat|preotact|bioactil|rx act|prozac|oracit
cloperastin fendizoate||clemastine fumarate|prochlorperazine edisylate|cloperastina|cloperastine|rizatriptan benzoate|haloperidol decanoate|clobetasol propionate|clocortolone hexanoate|fluphenazine decanoate|cloranfenicol
hair restorers)||pain stoppers|painfix restore|hair regenerator|hair regrow|hair essence|hand recovery|skin restorative|equate restore tears|periorestore|soothe restore
sodium salicylate||sodium camsylate|magnesium salicylate|choline salicylate|sodium lactate|sodium acetate|sodium apolate|sodium sulfate|sodium silicoaluminate|octyl salicylate|sodium ascorbate
lactobacillus bifidus||lactobacillus acidophilus|lactobacillus helveticus|lactobacillus reuteri|lactobacillus plantarum|lactobacillus coryniformis k8|lactobacillus acidophilus whole|lactobacillus helveticus whole|lactobacillus reuteri whole|bacillus subtilis|lactobacillus helveticum whole
breeze 2 sensor||breezers cool berry|brenztraubensäure|brewers yeast|freeze gel|bee venom|biofreeze professional|rynesa 12s suspension|ivabradine jensonr|renewing cleanser|biofreeze roll-on
other diagnostic drugs (excluding in vitro diagnostic drugs) (general drugs)||head and shoulders clinical strength dandruff defense dry scalp rescue|truly radiant whitening and strengthening rinse clean and fresh|olay regenerist micro-sculpting anti-aging moisturize broad spectrum spf 30|radiant defense perfecting liquid broad spectrum spf 30 - truffle|compact teinte protection intense galenic spf 40 (beige natural)|triaminic day time cold and cough and night time cold and cough|daily oral cleansing kit petite size with antiseptic oral rinse|compact teinte protection intense galenic spf 40 (hale dore)|bareminerals original foundation broad spectrum spf 15 neutral dark|sugar rush skin treat blurring skin tint broad spectrum spf 20 sunscreen medium
gsk573719||gsk159797|gsk3117391|gs 0573|gsk-376501|gsk-239512|gsk-3117391|gsk-945237|gsk-2636771|gsk2798745|gsk-1521498
lurioctocog alpha (genetical recombination)||agalsidase alfa (genetical recombination)|burosumab (genetical recombination)|antithrombin gamma (genetical recombination)|laronidase (genetical recombination)|lenograstim (genetical recombination)|liraglutide (genetical recombination)|aflibercept (genetical recombination)|insulin lispro (genetical recombination)|alteplase (genetical recombination)|somapacitan (genetical recombination)
keishi ninjinto||blemish vanishing|piprinhidrinato|inositol niacinate|methyl nicotinate|nerisone ointment|kidgets infants|aristada initio|mini nicotine|isotretinoino|rescinnamine
gsk143173a||gsk3117391|gsk-3117391|gsk4182136|gsk-364735|gsk-1004723|gsk-945237|gsk159797|gsk-1521498|gsk-2636771|gsk-424887
other contraceptives||vcf contraceptive|lunelle monthly contraceptive|today vaginal contraceptive|preven emergency contraceptive|copper tripeptide-1|visine contact lens|natural concepts|refresh contacts|se-care conceive|tetracosactide
chiamiral sodium||amytal sodium|vitamin c sodium|chromitope sodium|thiopental sodium|diuril sodium|brevital sodium|phenobarbital sodium|heparin sodium|seconal sodium|cromolyn sodium
granulocytes||granulotion|granulex|ran-duloxetine|granupas|valcyte|pramlyte|grasustek|granotapide|graceful catfish|nra-duloxetine
keihito||kimite|definity|dexivite|resinite|elimite|epitol|kemstro|ribitol|senshio|kalbitor
branched-chain amino acid||trans-tranexamic acid|4-aminohydrocinnamic acid|trans-4-hydroxycinnamic acid|trans-o-hydroxycinnamic acid|trans-p-hydroxycinnamic acid|trans-2-hydroxycinnamic acid|tranhexamic acid|trans-sinapic acid|2-aminosuccinamic acid|α-aminosuccinamic acid
other company's test drug||kroger company radiant white|gel compact teinte ip6|clear complexion acne serum|helicobacter test infai|chest congestion syrup|sazerac company hand sanitizer|theraflu cold and sore throat|kroger cool mint boost mouth|motion sickness less drowsy|tiger balm arthritis rub
bp preparation||lamb preparation|oats preparation|skin preparation|cold preparation|honey preparation|rhubarb preparation|preparation h|salmon preparation|caviar preparation|serenoa preparation
boxoku||botox|suboxone|boron|ambroxolum|boson|beovu|benzoxonium|naloxonum|bio-odeur|iohexolum
recombinant precipitated 4-valent human papillomavirus-like particle vaccine (derived from yeast)||recombinant human papillomavirus type 58 l1 protein|recombinant human papillomavirus type 31 l1 protein|recombinant human papillomavirus type 11 l1 protein|recombinant human papillomavirus type 18 l1 protein|recombinant human papillomavirus type 33 l1 protein|recombinant human papillomavirus type 16 l1 protein|recombinant human papillomavirus type 52 l1 protein|recombinant human papillomavirus type 45 l1 protein|recombinant human papillomavirus type 6 l1 protein|inactivated novel coronavirus (2019-cov) vaccine (vero cells)
gout remedy (general drug)||cold remedy gan mao ling|28 remedy intensive serum|gout reliever synergy|head remedy dandruff|28 remedy repair 30g|dollar general gold|pcxx creme de menthe neutral gl|clotrimaderm external cream|999 cold remedy granular|little remedies gas relief drops
hyper cvad||hypercare|hyper e tab|hyperrab|hypercln|hypericum|hypericin|hyperstat|hyperhep b|hipericina|hynex clean
sernitine pollen extract||scrub pine pollen extract|red pine pollen extract|western white pine pollen extract|eastern white pine pollen extract|austrian pine pollen extract|mesquite pollen extract|slash pine pollen extract|pitch pine pollen extract|scotch pine pollen extract|siberian elm pollen extract
bosmin||diosmin|rosin|eosin|boson|yasmin|dormin|bacmin|oscimin|diosmina|buformin
maintenance liquid (6)||maintenance warehouse|anti nausea liquid|ethrane liquid inh|antacid liquid susp|menjugate liquid|after bite liquid 3.61%|anti-nauseant liquid gels|tanac liquid|pain relief liquid|vitamin c liquid
glazopreville||grazoprevir|glecaprevir|glecaprevirum|danoprevir|elamipretide|cilazaprilate|nars deauville|lansoprazole|cilazapril|telaprevir
hormonal agents (including anti-hormonal agents)||personal care deep cleaning astringent|highmark professional pink antimicrobial ltn sp|dermal quench clear anti-acne treatment|personal care foaming hand sanitizer mint lemon|cetaphil gentle cleansing antibacterial bar|personal care quick dry antiperspirant|personal care foaming hand sanitizer rosemary lavender|personal care antibacterial hand coconut ginger|olay age defying anti-wrinkle daily spf 15|gojo gold and klean antimicrobial ltn sp
double phenib mesylate||imatinib mesylate|doxazosin mesylate|benztropine mesylate|phentolamine mesylate|deferoxamine mesylate|ergoloid mesylate|pradefovir mesylate|fenoldopam mesylate|codergocrine mesylate|bromocriptine mesylate
gfo||gelfos|gelfose|ganfort|mgso4|galeo|giazo|pdgfb|zyflo|gft14|glydo
